CLIENTE;EMISSAO;DT.SAIDA;C.E.P.;UF;CEP.ENTR.;UFE
05585-5;05/03/2024;05/03/2024;04144-000;SP;04144-000;SP
05595-4;31/01/2024;31/01/2024;05404-002;SP;05404-002;SP
05596-2;15/02/2024;15/02/2024;01411-001;SP;01411-001;SP
05596-2;29/02/2024;29/02/2024;01411-001;SP;01411-001;SP
05675-4;04/01/2024;04/01/2024;04524-001;SP;04524-001;SP
05675-4;26/02/2024;26/02/2024;04524-001;SP;04524-001;SP
05681-2;02/01/2024;02/01/2024;04203-002;SP;04203-002;SP
05697-8;01/02/2024;01/02/2024;09571-010;SP;09571-010;SP
05697-8;27/02/2024;27/02/2024;09571-010;SP;09571-010;SP
05697-8;26/03/2024;26/03/2024;09571-010;SP;09571-010;SP
05701-8;15/01/2024;15/01/2024;04610-001;SP;04610-001;SP
05701-8;30/01/2024;30/01/2024;04610-001;SP;04610-001;SP
05701-8;11/03/2024;11/03/2024;04610-001;SP;04610-001;SP
05707-5;03/01/2024;03/01/2024;02721-200;SP;02721-200;SP
05707-5;08/01/2024;08/01/2024;02721-200;SP;02721-200;SP
05707-5;15/01/2024;15/01/2024;02721-200;SP;02721-200;SP
05707-5;22/01/2024;22/01/2024;02721-200;SP;02721-200;SP
05707-5;30/01/2024;30/01/2024;02721-200;SP;02721-200;SP
05707-5;05/02/2024;05/02/2024;02721-200;SP;02721-200;SP
05707-5;12/02/2024;12/02/2024;02721-200;SP;02721-200;SP
05707-5;19/02/2024;19/02/2024;02721-200;SP;02721-200;SP
05707-5;19/02/2024;19/02/2024;02721-200;SP;02721-200;SP
05707-5;26/02/2024;26/02/2024;02721-200;SP;02721-200;SP
05707-5;04/03/2024;04/03/2024;02721-200;SP;02721-200;SP
05707-5;11/03/2024;11/03/2024;02721-200;SP;02721-200;SP
05707-5;18/03/2024;18/03/2024;02721-200;SP;02721-200;SP
05707-5;25/03/2024;25/03/2024;02721-200;SP;02721-200;SP
05707-5;01/04/2024;01/04/2024;02721-200;SP;02721-200;SP
05712-5;08/01/2024;08/01/2024;12247-004;SP;12247-004;SP
05737-2;08/03/2024;08/03/2024;04086-010;SP;04086-010;SP
05737-2;19/03/2024;19/03/2024;04086-010;SP;04086-010;SP
05751-3;01/04/2024;01/04/2024;18030-265;SP;18030-265;SP
05757-0;14/02/2024;14/02/2024;04515-030;SP;04515-030;SP
05757-0;06/03/2024;06/03/2024;04515-030;SP;04515-030;SP
05780-2;09/01/2024;09/01/2024;09721-000;SP;09721-000;SP
05780-2;01/02/2024;01/02/2024;09721-000;SP;09721-000;SP
05780-2;27/02/2024;27/02/2024;09721-000;SP;09721-000;SP
05783-6;27/02/2024;27/02/2024;03227-150;SP;03227-150;SP
05783-6;28/02/2024;28/02/2024;03227-150;SP;03227-150;SP
05803-2;20/03/2024;20/03/2024;17214-102;SP;17214-102;SP
05811-5;10/01/2024;10/01/2024;07190-100;SP;07190-100;SP
05811-5;27/03/2024;27/03/2024;07190-100;SP;07190-100;SP
05823-0;05/01/2024;05/01/2024;01202-002;SP;01202-002;SP
05823-0;13/02/2024;13/02/2024;01202-002;SP;01202-002;SP
05823-0;13/03/2024;13/03/2024;01202-002;SP;01202-002;SP
05823-0;15/03/2024;15/03/2024;01202-002;SP;01202-002;SP
05823-0;22/03/2024;22/03/2024;01202-002;SP;01202-002;SP
05838-8;24/01/2024;24/01/2024;13092-132;SP;13092-132;SP
05838-8;21/02/2024;21/02/2024;13092-132;SP;13092-132;SP
05838-8;06/03/2024;06/03/2024;13092-132;SP;13092-132;SP
05849-5;19/01/2024;19/01/2024;05351-000;SP;05351-000;SP
05849-5;09/02/2024;09/02/2024;05351-000;SP;05351-000;SP
05849-5;11/03/2024;11/03/2024;05351-000;SP;05351-000;SP
05849-5;15/03/2024;15/03/2024;05351-000;SP;05351-000;SP
05865-1;20/02/2024;20/02/2024;03104-002;SP;03104-002;SP
05871-9;08/01/2024;08/01/2024;14942-344;SP;14942-344;SP
05871-9;14/03/2024;14/03/2024;14942-344;SP;14942-344;SP
05902-2;15/02/2024;15/02/2024;01503-020;SP;01506-020;SP
05913-9;13/02/2024;13/02/2024;04015-001;SP;04015-001;SP
05913-9;11/03/2024;11/03/2024;04015-001;SP;04015-001;SP
05953-5;12/02/2024;12/02/2024;04578-000;SP;04578-000;SP
05953-5;18/03/2024;18/03/2024;04578-000;SP;04578-000;SP
05957-6;23/01/2024;23/01/2024;19900-043;SP;19900-043;SP
05957-6;23/02/2024;23/02/2024;19900-043;SP;19900-043;SP
05967-5;10/01/2024;10/01/2024;06711-508;SP;06711-508;SP
05971-7;15/02/2024;15/02/2024;01127-030;SP;01127-030;SP
05974-1;21/02/2024;21/02/2024;18600-005;SP;18600-005;SP
05979-0;15/01/2024;15/01/2024;04015-070;SP;04015-070;SP
05979-0;07/02/2024;07/02/2024;04015-070;SP;04015-070;SP
05979-0;08/03/2024;08/03/2024;04015-070;SP;04015-070;SP
05979-0;26/03/2024;26/03/2024;04015-070;SP;04015-070;SP
05990-7;05/01/2024;05/01/2024;07434-100;SP;07434-100;SP
05990-7;19/01/2024;19/01/2024;07434-100;SP;07434-100;SP
05990-7;25/01/2024;25/01/2024;07434-100;SP;07434-100;SP
05990-7;02/02/2024;02/02/2024;07434-100;SP;07434-100;SP
05990-7;09/02/2024;09/02/2024;07434-100;SP;07434-100;SP
05990-7;29/02/2024;29/02/2024;07434-100;SP;07434-100;SP
05990-7;08/03/2024;08/03/2024;07434-100;SP;07434-100;SP
05990-7;22/03/2024;22/03/2024;07434-100;SP;07434-100;SP
05990-7;27/03/2024;27/03/2024;07434-100;SP;07434-100;SP
06005-3;02/01/2024;02/01/2024;05724-002;SP;05724-002;SP
06005-3;11/03/2024;11/03/2024;05724-002;SP;05724-002;SP
06012-9;20/02/2024;20/02/2024;07401-070;SP;07401-070;SP
06012-9;22/03/2024;22/03/2024;07401-070;SP;07401-070;SP
06030-1;05/02/2024;05/02/2024;18046-775;SP;18046-775;SP
06030-1;22/02/2024;22/02/2024;18046-775;SP;18046-775;SP
06030-1;13/03/2024;13/03/2024;18046-775;SP;18046-775;SP
06033-5;05/02/2024;05/02/2024;18035-200;SP;18035-200;SP
06033-5;03/04/2024;03/04/2024;18035-200;SP;18035-200;SP
06038-4;04/03/2024;04/03/2024;02011-600;SP;02011-600;SP
06040-0;08/01/2024;08/01/2024;16025-140;SP;16025-140;SP
06042-6;05/02/2024;05/02/2024;18110-650;SP;18110-650;SP
06042-6;13/03/2024;13/03/2024;18110-650;SP;18110-650;SP
06042-6;22/03/2024;22/03/2024;18110-650;SP;18110-650;SP
06046-7;27/03/2024;27/03/2024;04304-090;SP;04304-090;SP
06051-7;04/01/2024;04/01/2024;08675-238;SP;08675-238;SP
