CLIENTE;EMISSAO;DT.SAIDA;C.E.P.;UF;CEP.ENTR.;UFE
83406-9;10/01/2024;10/01/2024;13468-110;SP;13468-110;SP
83406-9;21/02/2024;21/02/2024;13468-110;SP;13468-110;SP
83412-7;19/01/2024;19/01/2024;09426-120;SP;09426-120;SP
83412-7;27/03/2024;27/03/2024;09426-120;SP;09426-120;SP
83424-2;31/01/2024;31/01/2024;04082-000;SP;04082-000;SP
83425-9;02/01/2024;02/01/2024;13209-081;SP;13209-081;SP
83425-9;30/01/2024;30/01/2024;13209-081;SP;13209-081;SP
83425-9;29/02/2024;29/02/2024;13209-081;SP;13209-081;SP
83427-5;07/02/2024;07/02/2024;01503-010;SP;01503-010;SP
83427-5;18/01/2024;18/01/2024;01503-010;SP;01503-010;SP
83427-5;07/02/2024;07/02/2024;01503-010;SP;01503-010;SP
83427-5;22/02/2024;22/02/2024;01503-010;SP;01503-010;SP
83427-5;19/03/2024;19/03/2024;01503-010;SP;01503-010;SP
83427-5;26/03/2024;26/03/2024;01503-010;SP;01503-010;SP
83428-3;08/02/2024;08/02/2024;05593-001;SP;05593-001;SP
83428-3;22/02/2024;22/02/2024;05593-001;SP;05593-001;SP
83450-7;03/01/2024;03/01/2024;04515-030;SP;04515-030;SP
83450-7;07/02/2024;07/02/2024;04515-030;SP;04515-030;SP
83450-7;19/03/2024;19/03/2024;04515-030;SP;04515-030;SP
83452-3;08/03/2024;08/03/2024;16010-020;SP;16010-020;SP
83456-4;07/02/2024;07/02/2024;13478-580;SP;13478-580;SP
83456-4;06/03/2024;06/03/2024;13478-580;SP;13478-580;SP
83458-0;12/01/2024;12/01/2024;05303-000;SP;05303-000;SP
83458-0;28/03/2024;28/03/2024;05303-000;SP;05303-000;SP
83459-8;04/01/2024;04/01/2024;11025-270;SP;11025-270;SP
83459-8;17/01/2024;17/01/2024;11025-270;SP;11025-270;SP
83459-8;16/02/2024;16/02/2024;11025-270;SP;11025-270;SP
83462-2;05/02/2024;05/02/2024;06404-250;SP;06404-250;SP
83479-6;26/01/2024;26/01/2024;08775-618;SP;08775-618;SP
83479-6;22/02/2024;22/02/2024;08775-618;SP;08775-618;SP
83479-6;15/03/2024;15/03/2024;08775-618;SP;08775-618;SP
83500-9;18/03/2024;18/03/2024;04671-230;SP;04671-230;SP
83500-9;27/03/2024;27/03/2024;04671-230;SP;04671-230;SP
83500-9;03/01/2024;03/01/2024;04671-230;SP;04671-230;SP
83500-9;29/01/2024;29/01/2024;04671-230;SP;04671-230;SP
83500-9;15/02/2024;15/02/2024;04671-230;SP;04671-230;SP
83523-1;09/01/2024;09/01/2024;01503-010;SP;01503-010;SP
83523-1;06/02/2024;06/02/2024;01503-010;SP;01503-010;SP
83523-1;05/03/2024;05/03/2024;01503-010;SP;01503-010;SP
83523-1;25/03/2024;25/03/2024;01503-010;SP;01503-010;SP
83524-9;03/01/2024;03/01/2024;02332-001;SP;02332-001;SP
83524-9;08/01/2024;08/01/2024;02332-001;SP;02332-001;SP
83524-9;15/01/2024;15/01/2024;02332-001;SP;02332-001;SP
83524-9;22/01/2024;22/01/2024;02332-001;SP;02332-001;SP
83524-9;29/01/2024;29/01/2024;02332-001;SP;02332-001;SP
83524-9;05/02/2024;05/02/2024;02332-001;SP;02332-001;SP
83524-9;12/02/2024;12/02/2024;02332-001;SP;02332-001;SP
83524-9;16/02/2024;16/02/2024;02332-001;SP;02332-001;SP
83524-9;19/02/2024;19/02/2024;02332-001;SP;02332-001;SP
83524-9;26/02/2024;26/02/2024;02332-001;SP;02332-001;SP
83524-9;04/03/2024;04/03/2024;02332-001;SP;02332-001;SP
83524-9;12/03/2024;12/03/2024;02332-001;SP;02332-001;SP
83524-9;18/03/2024;18/03/2024;02332-001;SP;02332-001;SP
83524-9;25/03/2024;25/03/2024;02332-001;SP;02332-001;SP
83524-9;01/04/2024;01/04/2024;02332-001;SP;02332-001;SP
83525-6;09/02/2024;09/02/2024;05592-030;SP;05592-030;SP
83532-2;17/01/2024;17/01/2024;11320-000;SP;11320-000;SP
83532-2;19/02/2024;19/02/2024;11320-000;SP;11320-000;SP
83532-2;26/03/2024;26/03/2024;11320-000;SP;11320-000;SP
83537-1;18/01/2024;18/01/2024;01549-000;SP;01549-000;SP
83537-1;07/02/2024;07/02/2024;01549-000;SP;01549-000;SP
83537-1;29/02/2024;29/02/2024;01549-000;SP;01549-000;SP
83539-7;02/01/2024;02/01/2024;12230-470;SP;12230-470;SP
83539-7;08/01/2024;08/01/2024;12230-470;SP;12230-470;SP
83539-7;30/01/2024;30/01/2024;12230-470;SP;12230-470;SP
83539-7;12/02/2024;12/02/2024;12230-470;SP;12230-470;SP
83539-7;26/02/2024;26/02/2024;12230-470;SP;12230-470;SP
83539-7;25/03/2024;25/03/2024;12230-470;SP;12230-470;SP
83541-3;06/02/2024;06/02/2024;09726-901;SP;09726-901;SP
83541-3;06/02/2024;06/02/2024;09726-901;SP;09726-901;SP
83541-3;19/03/2024;19/03/2024;09726-901;SP;09726-901;SP
83555-3;25/03/2024;25/03/2024;05060-001;SP;05060-001;SP
83558-7;08/01/2024;08/01/2024;14020-058;SP;14020-058;SP
83558-7;22/01/2024;22/01/2024;14020-058;SP;14020-058;SP
83558-7;20/02/2024;20/02/2024;14020-058;SP;14020-058;SP
83558-7;26/02/2024;26/02/2024;14020-058;SP;14020-058;SP
83558-7;04/03/2024;04/03/2024;14020-058;SP;14020-058;SP
83558-7;01/04/2024;01/04/2024;14020-058;SP;14020-058;SP
83559-5;07/02/2024;07/02/2024;05678-000;SP;05678-000;SP
83559-5;20/03/2024;20/03/2024;05678-000;SP;05678-000;SP
83588-4;09/01/2024;09/01/2024;05414-011;SP;05414-011;SP
83605-6;20/02/2024;20/02/2024;09090-780;SP;09090-780;SP
83617-1;16/01/2024;16/01/2024;13416-215;SP;13416-215;SP
83617-1;21/02/2024;21/02/2024;13416-215;SP;13416-215;SP
83617-1;06/03/2024;06/03/2024;13416-215;SP;13416-215;SP
83617-1;03/04/2024;03/04/2024;13416-215;SP;13416-215;SP
83627-0;06/02/2024;06/02/2024;02201-001;SP;02201-001;SP
83627-0;21/02/2024;21/02/2024;02201-001;SP;02201-001;SP
83637-9;18/01/2024;18/01/2024;08650-245;SP;08650-245;SP
83637-9;19/01/2024;19/01/2024;08650-245;SP;08650-245;SP
83637-9;23/01/2024;23/01/2024;08650-245;SP;08650-245;SP
83637-9;08/02/2024;08/02/2024;08650-245;SP;08650-245;SP
83637-9;27/02/2024;27/02/2024;08650-245;SP;08650-245;SP
83637-9;27/02/2024;27/02/2024;08650-245;SP;08650-245;SP
83637-9;21/03/2024;21/03/2024;08650-245;SP;08650-245;SP
83655-1;09/01/2024;09/01/2024;16050-177;SP;16015-070;SP
83680-9;08/03/2024;08/03/2024;04015-001;SP;04015-001;SP
83680-9;16/01/2024;16/01/2024;04015-001;SP;04015-001;SP
83680-9;16/01/2024;16/01/2024;04015-001;SP;04015-001;SP
83680-9;02/02/2024;02/02/2024;04015-001;SP;04015-001;SP
83681-7;05/02/2024;05/02/2024;17582-042;SP;17582-042;SP
83703-9;03/01/2024;03/01/2024;13385-019;SP;13385-019;SP
83703-9;24/01/2024;24/01/2024;13385-019;SP;13385-019;SP
83703-9;06/03/2024;06/03/2024;13385-019;SP;13385-019;SP
83703-9;06/03/2024;06/03/2024;13385-019;SP;13385-019;SP
83714-6;29/02/2024;29/02/2024;01309-010;SP;01309-010;SP
83714-6;05/01/2024;05/01/2024;01309-010;SP;01309-010;SP
83714-6;11/01/2024;11/01/2024;01309-010;SP;01309-010;SP
83714-6;18/01/2024;18/01/2024;01309-010;SP;01309-010;SP
83714-6;02/02/2024;02/02/2024;01309-010;SP;01309-010;SP
83714-6;06/02/2024;06/02/2024;01309-010;SP;01309-010;SP
83714-6;22/02/2024;22/02/2024;01309-010;SP;01309-010;SP
83714-6;27/02/2024;27/02/2024;01309-010;SP;01309-010;SP
83714-6;12/03/2024;12/03/2024;01309-010;SP;01309-010;SP
83714-6;26/03/2024;26/03/2024;01309-010;SP;01309-010;SP
83714-6;27/03/2024;27/03/2024;01309-010;SP;01309-010;SP
83720-3;05/01/2024;05/01/2024;15015-820;SP;15015-820;SP
83720-3;15/02/2024;15/02/2024;15015-820;SP;15015-820;SP
83736-9;12/01/2024;12/01/2024;03809-060;SP;03809-060;SP
83736-9;27/02/2024;27/02/2024;03809-060;SP;03809-060;SP
83746-8;29/01/2024;29/01/2024;04608-003;SP;04608-003;SP
83748-4;03/01/2024;03/01/2024;02071-002;SP;02071-002;SP
83748-4;15/01/2024;15/01/2024;02071-002;SP;02071-002;SP
83748-4;23/01/2024;23/01/2024;02071-002;SP;02071-002;SP
83748-4;31/01/2024;31/01/2024;02071-002;SP;02071-002;SP
83748-4;05/02/2024;05/02/2024;02071-002;SP;02071-002;SP
83748-4;14/02/2024;14/02/2024;02071-002;SP;02071-002;SP
83748-4;21/02/2024;21/02/2024;02071-002;SP;02071-002;SP
83748-4;04/03/2024;04/03/2024;02071-002;SP;02071-002;SP
83748-4;14/03/2024;14/03/2024;02071-002;SP;02071-002;SP
83748-4;25/03/2024;25/03/2024;02071-002;SP;02071-002;SP
83748-4;01/04/2024;01/04/2024;02071-002;SP;02071-002;SP
83755-9;01/03/2024;01/03/2024;08650-245;SP;08650-245;SP
83755-9;04/03/2024;04/03/2024;08650-245;SP;08650-245;SP
83765-8;01/04/2024;01/04/2024;05537-080;SP;05625-000;SP
83766-6;09/01/2024;09/01/2024;02403-020;SP;02034-010;SP
83766-6;31/01/2024;31/01/2024;02403-020;SP;02034-010;SP
83766-6;05/02/2024;05/02/2024;02403-020;SP;02034-010;SP
83766-6;12/02/2024;12/02/2024;02403-020;SP;02034-010;SP
83766-6;26/02/2024;26/02/2024;02403-020;SP;02034-010;SP
83766-6;11/03/2024;11/03/2024;02403-020;SP;02034-010;SP
83766-6;18/03/2024;18/03/2024;02403-020;SP;02034-010;SP
83766-6;25/03/2024;25/03/2024;02403-020;SP;02034-010;SP
83766-6;01/04/2024;01/04/2024;02403-020;SP;02034-010;SP
83773-2;17/01/2024;17/01/2024;11410-280;SP;11410-280;SP
83773-2;31/01/2024;31/01/2024;11410-280;SP;11410-280;SP
83773-2;19/02/2024;19/02/2024;11410-280;SP;11410-280;SP
83773-2;28/02/2024;28/02/2024;11410-280;SP;11410-280;SP
83773-2;14/03/2024;14/03/2024;11410-280;SP;11410-280;SP
83773-2;26/03/2024;26/03/2024;11410-280;SP;11410-280;SP
83779-9;28/02/2024;28/02/2024;04538-932;SP;04538-932;SP
83801-1;09/01/2024;09/01/2024;03124-020;SP;03124-020;SP
83801-1;06/02/2024;06/02/2024;03124-020;SP;03124-020;SP
83801-1;20/02/2024;20/02/2024;03124-020;SP;03124-020;SP
83801-1;04/03/2024;04/03/2024;03124-020;SP;03124-020;SP
83802-9;29/01/2024;29/01/2024;07082-020;SP;07082-020;SP
83802-9;13/03/2024;13/03/2024;07082-020;SP;07082-020;SP
83815-1;04/01/2024;04/01/2024;18046-695;SP;18046-695;SP
83815-1;05/02/2024;05/02/2024;18046-695;SP;18046-695;SP
83815-1;04/03/2024;04/03/2024;18046-695;SP;18046-695;SP
83815-1;01/04/2024;01/04/2024;18046-695;SP;18046-695;SP
83838-3;21/02/2024;21/02/2024;08650-245;SP;08650-245;SP
83838-3;08/02/2024;08/02/2024;08650-245;SP;08650-245;SP
83838-3;07/03/2024;07/03/2024;08650-245;SP;08650-245;SP
83839-1;19/02/2024;19/02/2024;09912-010;SP;09912-010;SP
83844-1;09/01/2024;09/01/2024;01506-020;SP;01506-020;SP
83844-1;30/01/2024;30/01/2024;01506-020;SP;01506-020;SP
83844-1;06/02/2024;06/02/2024;01506-020;SP;01506-020;SP
83844-1;27/02/2024;27/02/2024;01506-020;SP;01506-020;SP
83844-1;19/03/2024;19/03/2024;01506-020;SP;01506-020;SP
83845-8;09/01/2024;09/01/2024;04113-001;SP;04113-001;SP
83845-8;16/01/2024;16/01/2024;04113-001;SP;04113-001;SP
83845-8;23/01/2024;23/01/2024;04113-001;SP;04113-001;SP
83845-8;30/01/2024;30/01/2024;04113-001;SP;04113-001;SP
83845-8;12/02/2024;12/02/2024;04113-001;SP;04113-001;SP
83845-8;20/02/2024;20/02/2024;04113-001;SP;04113-001;SP
83845-8;27/02/2024;27/02/2024;04113-001;SP;04113-001;SP
83845-8;05/03/2024;05/03/2024;04113-001;SP;04113-001;SP
83845-8;12/03/2024;12/03/2024;04113-001;SP;04113-001;SP
83845-8;19/03/2024;19/03/2024;04113-001;SP;04113-001;SP
83845-8;26/03/2024;26/03/2024;04113-001;SP;04113-001;SP
83845-8;01/04/2024;01/04/2024;04113-001;SP;04113-001;SP
83865-6;02/01/2024;02/01/2024;01259-020;SP;01259-020;SP
83865-6;08/01/2024;08/01/2024;01259-020;SP;01259-020;SP
83865-6;15/01/2024;15/01/2024;01259-020;SP;01259-020;SP
83865-6;22/01/2024;22/01/2024;01259-020;SP;01259-020;SP
83865-6;05/02/2024;05/02/2024;01259-020;SP;01259-020;SP
83865-6;05/02/2024;05/02/2024;01259-020;SP;01259-020;SP
83865-6;12/02/2024;12/02/2024;01259-020;SP;01259-020;SP
83865-6;15/02/2024;15/02/2024;01259-020;SP;01259-020;SP
83865-6;19/02/2024;19/02/2024;01259-020;SP;01259-020;SP
83865-6;26/02/2024;26/02/2024;01259-020;SP;01259-020;SP
83865-6;04/03/2024;04/03/2024;01259-020;SP;01259-020;SP
83865-6;11/03/2024;11/03/2024;01259-020;SP;01259-020;SP
83865-6;13/03/2024;13/03/2024;01259-020;SP;01259-020;SP
83865-6;18/03/2024;18/03/2024;01259-020;SP;01259-020;SP
83865-6;25/03/2024;25/03/2024;01259-020;SP;01259-020;SP
83865-6;01/04/2024;01/04/2024;01259-020;SP;01259-020;SP
83874-8;08/02/2024;08/02/2024;03319-000;SP;03319-000;SP
83874-8;13/02/2024;13/02/2024;03319-000;SP;03319-000;SP
83874-8;07/03/2024;07/03/2024;03319-000;SP;03319-000;SP
83886-2;02/02/2024;02/02/2024;01452-000;SP;01452-000;SP
83893-8;11/01/2024;11/01/2024;07252-000;SP;07252-000;SP
83893-8;09/02/2024;09/02/2024;07252-000;SP;07252-000;SP
83906-8;10/01/2024;10/01/2024;05881-020;SP;05881-020;SP
83906-8;28/02/2024;28/02/2024;05881-020;SP;05881-020;SP
83912-6;18/01/2024;18/01/2024;05538-010;SP;05538-010;SP
83912-6;29/01/2024;29/01/2024;05538-010;SP;05538-010;SP
83912-6;07/02/2024;07/02/2024;05538-010;SP;05538-010;SP
83912-6;27/02/2024;27/02/2024;05538-010;SP;05538-010;SP
83917-5;19/02/2024;19/02/2024;15800-220;SP;15800-210;SP
83922-5;20/02/2024;20/02/2024;17012-191;SP;17012-191;SP
83922-5;25/01/2024;25/01/2024;17012-191;SP;17012-191;SP
83922-5;14/03/2024;14/03/2024;17012-191;SP;17012-191;SP
83923-3;08/01/2024;08/01/2024;12081-200;SP;12081-200;SP
83923-3;05/01/2024;05/01/2024;12081-200;SP;12081-200;SP
83923-3;29/01/2024;29/01/2024;12081-200;SP;12081-200;SP
83923-3;26/02/2024;26/02/2024;12081-200;SP;12081-200;SP
83923-3;25/03/2024;25/03/2024;12081-200;SP;12081-200;SP
83931-6;10/01/2024;10/01/2024;04509-001;SP;04509-001;SP
83931-6;08/02/2024;08/02/2024;04509-001;SP;04509-001;SP
83932-4;09/01/2024;09/01/2024;08555-000;SP;08555-000;SP
83932-4;18/01/2024;18/01/2024;08555-000;SP;08555-000;SP
83932-4;22/01/2024;22/01/2024;08555-000;SP;08555-000;SP
83932-4;26/01/2024;26/01/2024;08555-000;SP;08555-000;SP
83932-4;30/01/2024;30/01/2024;08555-000;SP;08555-000;SP
83932-4;02/02/2024;02/02/2024;08555-000;SP;08555-000;SP
83932-4;07/02/2024;07/02/2024;08555-000;SP;08555-000;SP
83932-4;15/02/2024;15/02/2024;08555-000;SP;08555-000;SP
83932-4;19/02/2024;19/02/2024;08555-000;SP;08555-000;SP
83932-4;20/02/2024;20/02/2024;08555-000;SP;08555-000;SP
83932-4;01/03/2024;01/03/2024;08555-000;SP;08555-000;SP
83932-4;12/03/2024;12/03/2024;08555-000;SP;08555-000;SP
83932-4;15/03/2024;15/03/2024;08555-000;SP;08555-000;SP
83932-4;20/03/2024;20/03/2024;08555-000;SP;08555-000;SP
83932-4;25/03/2024;25/03/2024;08555-000;SP;08555-000;SP
83934-0;16/02/2024;16/02/2024;11050-100;SP;11050-100;SP
83934-0;13/03/2024;13/03/2024;11050-100;SP;11050-100;SP
83938-1;24/01/2024;24/01/2024;18207-330;SP;18207-330;SP
83938-1;25/03/2024;25/03/2024;18207-330;SP;18207-330;SP
83940-7;01/02/2024;01/02/2024;09190-210;SP;09111-340;SP
83948-0;10/01/2024;10/01/2024;61658-170;CE;13060-811;SP
83952-2;05/01/2024;05/01/2024;05010-040;SP;05010-040;SP
83979-5;05/02/2024;05/02/2024;06453-002;SP;01415-005;SP
83981-1;16/02/2024;16/02/2024;08613-130;SP;08613-130;SP
83981-1;27/02/2024;27/02/2024;08613-130;SP;08613-130;SP
83984-5;11/01/2024;11/01/2024;09290-080;SP;09290-080;SP
83985-2;10/01/2024;10/01/2024;08220-900;SP;08220-900;SP
83985-2;07/03/2024;07/03/2024;08220-900;SP;08220-900;SP
83985-2;20/03/2024;20/03/2024;08220-900;SP;08220-900;SP
83985-2;21/02/2024;21/02/2024;08220-900;SP;08220-900;SP
83986-0;05/03/2024;05/03/2024;06717-085;SP;06717-085;SP
83987-8;10/01/2024;10/01/2024;07111-000;SP;07111-000;SP
83987-8;07/03/2024;07/03/2024;07111-000;SP;07111-000;SP
83987-8;21/02/2024;21/02/2024;07111-000;SP;07111-000;SP
83993-6;08/01/2024;08/01/2024;08674-210;SP;08674-210;SP
83993-6;15/01/2024;15/01/2024;08674-210;SP;08674-210;SP
83993-6;24/01/2024;24/01/2024;08674-210;SP;08674-210;SP
83993-6;01/02/2024;01/02/2024;08674-210;SP;08674-210;SP
83993-6;09/02/2024;09/02/2024;08674-210;SP;08674-210;SP
83993-6;15/02/2024;15/02/2024;08674-210;SP;08674-210;SP
83993-6;04/03/2024;04/03/2024;08674-210;SP;08674-210;SP
83993-6;08/03/2024;08/03/2024;08674-210;SP;08674-210;SP
83993-6;13/03/2024;13/03/2024;08674-210;SP;08674-210;SP
83993-6;20/03/2024;20/03/2024;08674-210;SP;08674-210;SP
83993-6;22/03/2024;22/03/2024;08674-210;SP;08674-210;SP
83993-6;27/03/2024;27/03/2024;08674-210;SP;08674-210;SP
83994-4;17/01/2024;17/01/2024;08610-080;SP;08610-080;SP
84002-5;19/01/2024;19/01/2024;18700-180;SP;18700-180;SP
84002-5;04/03/2024;04/03/2024;18700-180;SP;18700-180;SP
84002-5;11/03/2024;11/03/2024;18700-180;SP;18700-180;SP
84018-1;11/01/2024;11/01/2024;03446-020;SP;03446-020;SP
84018-1;29/01/2024;29/01/2024;03446-020;SP;03446-020;SP
84018-1;13/02/2024;13/02/2024;03446-020;SP;03446-020;SP
84018-1;27/02/2024;27/02/2024;03446-020;SP;03446-020;SP
84018-1;12/03/2024;12/03/2024;03446-020;SP;03446-020;SP
84026-4;09/02/2024;09/02/2024;08773-490;SP;08773-490;SP
84042-1;09/01/2024;09/01/2024;04531-001;SP;04531-001;SP
84042-1;14/02/2024;14/02/2024;04531-001;SP;04531-001;SP
84042-1;05/03/2024;05/03/2024;04531-001;SP;04531-001;SP
84042-1;06/03/2024;06/03/2024;04531-001;SP;04531-001;SP
84046-2;12/01/2024;12/01/2024;06083-200;SP;06083-200;SP
84046-2;16/01/2024;16/01/2024;06083-200;SP;06083-200;SP
84046-2;30/01/2024;30/01/2024;06083-200;SP;06083-200;SP
84046-2;19/02/2024;19/02/2024;06083-200;SP;06083-200;SP
84046-2;07/03/2024;07/03/2024;06083-200;SP;06083-200;SP
84046-2;25/03/2024;25/03/2024;06083-200;SP;06083-200;SP
84047-0;20/02/2024;20/02/2024;06460-030;SP;06460-030;SP
84047-0;27/03/2024;27/03/2024;06460-030;SP;06460-030;SP
84055-3;08/01/2024;08/01/2024;07111-000;SP;07111-000;SP
84055-3;05/02/2024;05/02/2024;07111-000;SP;07111-000;SP
84055-3;05/03/2024;05/03/2024;07111-000;SP;07111-000;SP
84055-3;20/03/2024;20/03/2024;07111-000;SP;07111-000;SP
84058-7;04/01/2024;04/01/2024;08640-135;SP;08640-135;SP
84058-7;18/01/2024;18/01/2024;08640-135;SP;08640-135;SP
84058-7;22/02/2024;22/02/2024;08640-135;SP;08640-135;SP
84072-8;15/01/2024;15/01/2024;04534-013;SP;04534-013;SP
84072-8;19/02/2024;19/02/2024;04534-013;SP;04534-013;SP
84072-8;21/02/2024;21/02/2024;04534-013;SP;04534-013;SP
84072-8;14/03/2024;14/03/2024;04534-013;SP;04534-013;SP
84072-8;20/03/2024;20/03/2024;04534-013;SP;04534-013;SP
84079-3;09/01/2024;09/01/2024;06411-070;SP;06411-070;SP
84079-3;29/01/2024;29/01/2024;06411-070;SP;06411-070;SP
84079-3;05/02/2024;05/02/2024;06411-070;SP;06411-070;SP
84079-3;20/02/2024;20/02/2024;06411-070;SP;06411-070;SP
84079-3;29/02/2024;29/02/2024;06411-070;SP;06411-070;SP
84079-3;12/03/2024;12/03/2024;06411-070;SP;06411-070;SP
84079-3;22/03/2024;22/03/2024;06411-070;SP;06411-070;SP
84084-3;18/01/2024;18/01/2024;04012-002;SP;04012-002;SP
84087-6;24/01/2024;24/01/2024;13465-510;SP;13465-510;SP
84087-6;20/03/2024;20/03/2024;13465-510;SP;13465-510;SP
84090-0;23/01/2024;23/01/2024;17012-030;SP;17012-030;SP
84090-0;11/03/2024;11/03/2024;17012-030;SP;17012-030;SP
84105-6;22/02/2024;22/02/2024;01203-002;SP;01203-002;SP
84110-6;01/02/2024;01/02/2024;03303-000;SP;03303-000;SP
84113-0;10/01/2024;10/01/2024;05337-060;SP;05337-060;SP
84121-3;05/01/2024;05/01/2024;06454-000;SP;06454-000;SP
84121-3;08/02/2024;08/02/2024;06454-000;SP;06454-000;SP
84121-3;14/03/2024;14/03/2024;06454-000;SP;06454-000;SP
84124-7;13/03/2024;13/03/2024;01222-010;SP;01222-010;SP
84125-4;03/01/2024;03/01/2024;11707-005;SP;11707-005;SP
84125-4;17/01/2024;17/01/2024;11707-005;SP;11707-005;SP
84125-4;31/01/2024;31/01/2024;11707-005;SP;11707-005;SP
84125-4;28/02/2024;28/02/2024;11707-005;SP;11707-005;SP
84127-0;17/01/2024;17/01/2024;13480-070;SP;13480-070;SP
84127-0;22/02/2024;22/02/2024;13480-070;SP;13480-070;SP
84127-0;11/03/2024;11/03/2024;13480-070;SP;13480-070;SP
84127-0;03/04/2024;03/04/2024;13480-070;SP;13480-070;SP
84131-2;12/01/2024;12/01/2024;03312-050;SP;03312-050;SP
84131-2;06/02/2024;06/02/2024;03312-050;SP;03312-050;SP
84131-2;15/02/2024;15/02/2024;03312-050;SP;03312-050;SP
84131-2;01/03/2024;01/03/2024;03312-050;SP;03312-050;SP
84131-2;20/03/2024;20/03/2024;03312-050;SP;03312-050;SP
84135-3;15/03/2024;15/03/2024;17203-380;SP;05051-000;SP
84142-9;25/03/2024;25/03/2024;12243-360;SP;12243-360;SP
84142-9;26/01/2024;26/01/2024;12243-360;SP;12243-360;SP
84142-9;26/02/2024;26/02/2024;12243-360;SP;12243-360;SP
84145-2;03/01/2024;03/01/2024;05154-000;SP;05154-000;SP
84145-2;08/01/2024;08/01/2024;05154-000;SP;05154-000;SP
84145-2;12/01/2024;12/01/2024;05154-000;SP;05154-000;SP
84145-2;22/01/2024;22/01/2024;05154-000;SP;05154-000;SP
84145-2;05/02/2024;05/02/2024;05154-000;SP;05154-000;SP
84145-2;12/02/2024;12/02/2024;05154-000;SP;05154-000;SP
84145-2;19/02/2024;19/02/2024;05154-000;SP;05154-000;SP
84145-2;26/02/2024;26/02/2024;05154-000;SP;05154-000;SP
84145-2;04/03/2024;04/03/2024;05154-000;SP;05154-000;SP
84145-2;11/03/2024;11/03/2024;05154-000;SP;05154-000;SP
84145-2;18/03/2024;18/03/2024;05154-000;SP;05154-000;SP
84145-2;25/03/2024;25/03/2024;05154-000;SP;05154-000;SP
84145-2;01/04/2024;01/04/2024;05154-000;SP;05154-000;SP
84146-0;04/01/2024;04/01/2024;04203-052;SP;04203-052;SP
84146-0;07/03/2024;07/03/2024;04203-052;SP;04203-052;SP
84152-8;29/01/2024;29/01/2024;08674-205;SP;08674-205;SP
84152-8;01/03/2024;01/03/2024;08674-205;SP;08674-205;SP
84160-1;18/01/2024;18/01/2024;01413-000;SP;01413-000;SP
84160-1;06/03/2024;06/03/2024;01413-000;SP;01413-000;SP
84162-7;12/01/2024;12/01/2024;08650-245;SP;08650-245;SP
84163-5;05/01/2024;05/01/2024;04536-010;SP;04536-010;SP
84163-5;08/01/2024;08/01/2024;04536-010;SP;04536-010;SP
84163-5;05/01/2024;05/01/2024;04536-010;SP;04536-010;SP
84163-5;31/01/2024;31/01/2024;04536-010;SP;04536-010;SP
84163-5;29/02/2024;29/02/2024;04536-010;SP;04536-010;SP
84163-5;15/03/2024;15/03/2024;04536-010;SP;04536-010;SP
84190-8;02/01/2024;02/01/2024;06454-000;SP;06454-000;SP
84190-8;20/02/2024;20/02/2024;06454-000;SP;06454-000;SP
84190-8;04/03/2024;04/03/2024;06454-000;SP;06454-000;SP
84190-8;21/03/2024;21/03/2024;06454-000;SP;06454-000;SP
84200-5;23/01/2024;23/01/2024;01311-915;SP;01311-915;SP
84207-0;17/01/2024;17/01/2024;04544-050;SP;04544-050;SP
84207-0;29/01/2024;29/01/2024;04544-050;SP;04544-050;SP
84207-0;07/02/2024;07/02/2024;04544-050;SP;04544-050;SP
84207-0;13/02/2024;13/02/2024;04544-050;SP;04544-050;SP
84207-0;21/02/2024;21/02/2024;04544-050;SP;04544-050;SP
84207-0;18/03/2024;18/03/2024;04544-050;SP;04544-050;SP
84207-0;22/03/2024;22/03/2024;04544-050;SP;04544-050;SP
84231-0;03/01/2024;03/01/2024;04605-004;SP;04605-001;SP
84240-1;30/01/2024;30/01/2024;04019-030;SP;04019-030;SP
84242-7;15/01/2024;15/01/2024;13304-305;SP;13304-305;SP
84242-7;05/03/2024;05/03/2024;13304-305;SP;13304-305;SP
84243-5;07/02/2024;07/02/2024;13910-037;SP;13910-037;SP
84244-3;17/01/2024;17/01/2024;03357-000;SP;03357-000;SP
84244-3;15/02/2024;15/02/2024;03357-000;SP;03357-000;SP
84244-3;28/02/2024;28/02/2024;03357-000;SP;03357-000;SP
84244-3;15/03/2024;15/03/2024;03357-000;SP;03357-000;SP
84249-2;26/01/2024;26/01/2024;04548-000;SP;04548-000;SP
84249-2;08/02/2024;08/02/2024;04548-000;SP;04548-000;SP
84249-2;26/02/2024;26/02/2024;04548-000;SP;04548-000;SP
84249-2;05/03/2024;05/03/2024;04548-000;SP;04548-000;SP
84249-2;26/03/2024;26/03/2024;04548-000;SP;04548-000;SP
84249-2;15/01/2024;15/01/2024;04548-000;SP;04548-000;SP
84251-8;07/02/2024;07/02/2024;13040-093;SP;13040-093;SP
84251-8;05/03/2024;05/03/2024;13040-093;SP;13040-093;SP
84251-8;20/03/2024;20/03/2024;13040-093;SP;13040-093;SP
84251-8;24/01/2024;24/01/2024;13040-093;SP;13040-093;SP
84254-2;24/01/2024;24/01/2024;13270-180;SP;13270-180;SP
84254-2;07/02/2024;07/02/2024;13270-180;SP;13270-180;SP
84254-2;21/02/2024;21/02/2024;13270-180;SP;13270-180;SP
84254-2;05/03/2024;05/03/2024;13270-180;SP;13270-180;SP
